Symbol,Company,Sector,Sub Sector
SITASHREE,,Food Processing,Food Processing - Miscellaneous
SITINET,Siti Networks Limited,,
SIYSIL,Siyaram Silk Mills Limited,Textiles,Textiles - Weaving
SJVN,SJVN Limited,Power,Power - Generation/Distribution
SKFINDIA,SKF India Limited,Auto Ancl,Bearings
SKIL,SKIL Infrastructure Limited,,
SKIPPER,Skipper Limited,,
SMARTLINK,Smartlink Holdings Limited,,
SMLISUZU,SML Isuzu Limited,Auto,Auto - LCVs/HCVs
SMPL,Splendid Metal Products Limited,,
SMSPHARMA,SMS Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals
SNOWMAN,Snowman Logistics Limited,,
SOBHA,Sobha Limited,Construction,Construction and Contracting - Real Estate
SOLARINDS,Solar Industries India Limited,Misc,Industrial Explosives
SOMANYCERA,Somany Ceramics Limited,Ceramics,Ceramics/Tiles/Sanitaryware
SOMICONVEY,Somi Conveyor Beltings Limited,,
SONASTEER,,Auto Ancl,Auto Ancl - Gears & Drive
SONATSOFTW,Sonata Software Limited,Computers,Computers - Software
SORILHOLD,,,
SORILINFRA,SORIL Infra Resources Limited,,
SOTL,Savita Oil Technologies Limited,Petrochem,Petrochem - Others
SOUTHBANK,The South Indian Bank Limited,Banks - Private,Finance - Banks - Private Sector
SPAL,S. P. Apparels Limited,,
SPARC,Sun Pharma Advanced Research Company Limited,Misc,Miscellaneous
SPCENET,Spacenet Enterprises India Limited,,
SPENTEX,Spentex Industries Limited,Textiles,Textiles - Spinning - Cotton Blended
SPHEREGSL,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
SPICEMOBI,,,
SPLIL,SPL Industries Limited,Textiles,Textiles - Readymade Apparels
SPYL,Shekhawati Poly-Yarn Limited,,
SQSBFSI,,,
SREEL,Sreeleathers Limited,,
SREINFRA,SREI Infrastructure Finance Limited,Finance,Finance - Leasing & Diversified
SRF,SRF Limited,Textiles,Textiles - Manmade Fibre - Nylon
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,Petrochem,Petrochem - Others
SRIPIPES,Srikalahasthi Pipes Limited,,
SRSLTD,,,
SRTRANSFIN,Shriram Transport Finance Company Limited,Finance,Finance - Leasing & Hire Purchase
SSWL,Steel Strips Wheels Limited,Auto Ancl,Auto Ancl - Dr. Trans & Steer - Wheels
STAMPEDE,Stampede Capital Limited,,
STAR,Strides Pharma Science Limited,Pharmaceuticals,Pharmaceuticals
STARPAPER,Star Paper Mills Limited,Paper,Paper & Paper Boards
STCINDIA,The State Trading Corporation of India Limited,Trading,Trading
STEL,Stel Holdings Limited,Finance,Finance - Investments
STERLINBIO,,Pharmaceuticals,Pharmaceuticals
STERTOOLS,Sterling Tools Limited,Misc,Fasteners
STINDIA,STI India Limited,Textiles,Textiles - Spinning - Cotton Blended
STRTECH,Sterlite Technologies Limited,Cables,Cables - Telephone
SUBEX,Subex Limited,Computers,Computers - Software
SUBROS,Subros Limited,Auto Ancl,Auto Ancl - Equipment Others
SUDARSCHEM,Sudarshan Chemical Industries Limited,Dyes,Dyes & Pigments
SUJANAUNI,Sujana Universal Industries Limited,Appliances,Domestic Appliances - Others
SUMEETINDS,Sumeet Industries Limited,Textiles,Textiles - Manmade Fibre - PPFY
SUMMITSEC,Summit Securities Limited,Finance,Finance - General
SUNCLAYLTD,Sundaram Clayton Limited,,
SUNDARAM,Sundaram Multi Pap Limited,,
SUNDARMFIN,Sundaram Finance Limited,Finance,Finance - Leasing & Hire Purchase
SUNDRMBRAK,Sundaram Brake Linings Limited,,
SUNDRMFAST,Sundram Fasteners Limited,Auto Ancl,Auto Ancl - Engine Parts
SUNFLAG,Sunflag Iron And Steel Company Limited,Steel,Steel - Rolling
SUNILHITEC,,Power,Power - Transmission/Equipment
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals,Pharmaceuticals
SUNTECK,Sunteck Realty Limited,Construction,Construction and Contracting - Real Estate
SUNTV,Sun TV Network Limited,Entertainment,Entertainment/Multi Media
SUPERHOUSE,Superhouse Limited,,
SUPERSPIN,Super Spinning Mills Limited,Textiles,Textiles - Spinning - Cotton Blended
SUPPETRO,Supreme Petrochem Limited,Petrochem,Petrochem - Polymers
SUPRAJIT,Suprajit Engineering Limited,Auto Ancl,Auto Ancl - Equipment Others
SUPREMEIND,Supreme Industries Limited,Plastics,Plastics - Others
SUPREMEINF,Supreme Infrastructure India Limited,Construction,Construction & Contracting - Civil
SUPREMETEX,,Textiles,Textiles - Spinning - Cotton Blended
SURANASOL,Surana Solar Limited,,
SURANAT&P,Surana Telecom and Power Limited,Cables,Cables - Telephone
SURYALAXMI,Suryalakshmi Cotton Mills Limited,Textiles,Textiles - Spinning - Cotton Blended
SURYAROSNI,Surya Roshni Limited,Steel,Steel - Tubes/Pipes
SUTLEJTEX,Sutlej Textiles and Industries Limited,Textiles,Textiles - General
SUVEN,Suven Life Sciences Limited,Pharmaceuticals,Pharmaceuticals
SUZLON,Suzlon Energy Limited,Engineering,Engineering - Heavy
SWANENERGY,Swan Energy Limited,,
SWARAJENG,Swaraj Engines Limited,Engines,Engines
SWELECTES,Swelect Energy Systems Limited,,
SYMPHONY,Symphony Limited,,
SYNCOM,Syncom Healthcare Limited,Pharmaceuticals,Pharmaceuticals
SYNDIBANK,,Banks - PSU,Finance - Banks - Public Sector
SYNGENE,Syngene International Limited,,
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Plastics,Plastics - Sheets/Films
TAJGVK,Taj GVK Hotels & Resorts Limited,Hotels,Hotels
TAKE,Take Solutions Limited,Computers,Computers - Software
TALBROAUTO,Talbros Automotive Components Limited,Auto Ancl,Auto Ancl - Engine Parts
TALWALKARS,Talwalkars Better Value Fitness Limited,Misc,Miscellaneous
TANLA,Tanla Solutions Limited,,
TARAJEWELS,,,
TASTYBITE,Tasty Bite Eatables Limited,,
TATACHEM,Tata Chemicals Limited,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
TATACOFFEE,Tata Coffee Limited,Tea-Coffee,Plantations - Tea & Coffee
TATACOMM,Tata Communications Limited,Telecom,Telecommunications - Service
TATAELXSI,Tata Elxsi Limited,Computers,Computers - Software
TATAGLOBAL,,Tea-Coffee,Plantations - Tea & Coffee
TATAINVEST,Tata Investment Corporation Limited,Finance,Finance - Investments
TATAMETALI,Tata Metaliks Limited,Steel,Steel - Pig Iron
TATAMOTORS,Tata Motors Limited,Auto,Auto - LCVs/HCVs
TATAMTRDVR,Tata Motors Limited,Auto,Auto - LCVs/HCVs
TATAPOWER,Tata Power Company Limited,Power,Power - Generation/Distribution
TATASPONGE,,Steel,Steel - Sponge Iron
TATASTEEL,Tata Steel Limited,Steel,Steel
TBZ,Tribhovandas Bhimji Zaveri Limited,,
TCI,Transport Corporation of India Limited,Transport,Transport - Road
TCIDEVELOP,TCI Developers Limited,,
TCIEXP,TCI Express Limited,,
TCIFINANCE,TCI Finance Limited,Finance,Finance - Investments
TCS,Tata Consultancy Services Limited,Computers,Computers - Software
TDPOWERSYS,TD Power Systems Limited,,
TEAMLEASE,Teamlease Services Limited,,
TECHM,Tech Mahindra Limited,Computers,Computers - Software
TECHNO,,Electric,Electric Equipment - Switchgear/Circuit Breaker
TECHNOFAB,Technofab Engineering Limited,Computers,Project Consultancy/Turnkey
TERASOFT,Tera Software Limited,,
TEXINFRA,Texmaco Infrastructure & Holdings Limited,,
TEXRAIL,Texmaco Rail & Engineering Limited,,
TFCILTD,Tourism Finance Corporation of India Limited,Finance,Finance - Term Lending Institutions
TGBHOTELS,TGB Banquets And Hotels Limited,,
THANGAMAYL,Thangamayil Jewellery Limited,Jewellery,Diamond Cutting/Precious Metals/Jewellery
THEMISMED,Themis Medicare Limited,Pharmaceuticals,Pharmaceuticals
THERMAX,Thermax Limited,Misc,Pollution Control Equipment
THIRUSUGAR,Thiru Arooran Sugars Limited,Sugar,Sugar - Integrated
THOMASCOOK,Thomas Cook  (India)  Limited,Travel,Travel Agen. / Tourism Deve. / Amusement Park
THYROCARE,Thyrocare Technologies Limited,,
TI,Tilaknagar Industries Limited,Beverages,Beverages - Alcoholic - Distilleries
TIDEWATER,Tide Water Oil Company (India) Limited,Auto Ancl,Lubricants
TIIL,Technocraft Industries (India) Limited,Diversified,Diversified
TIL,TIL Limited,Engineering,Engineering - Heavy
TIMETECHNO,Time Technoplast Limited,Packaging,
TIMKEN,Timken India Limited,Auto Ancl,Bearings
TINPLATE,The Tinplate Company of India Limited,Metals,Metals - Non Ferrous - Others
TIPSINDLTD,TIPS Industries Limited,Entertainment,Entertainment/Multi Media
TIRUMALCHM,Thirumalai Chemicals Limited,Chemicals,Chemicals - Organic - Maleic Anhydride
TITAN,Titan Company Limited,Misc,Watches
TMRVL,The Mandhana Retail Ventures Limited,,
TNPETRO,Tamilnadu PetroProducts Limited,Consumer Goods,Detergents
TNPL,Tamil Nadu Newsprint & Papers Limited,Paper,Paper - News Print
TOKYOPLAST,Tokyo Plast International Limited,Appliances,Domestic Appliances - Thermoware
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals
TORNTPOWER,Torrent Power Limited,Power,Power - Generation/Distribution
TPLPLASTEH,TPL Plastech Limited,,
TREEHOUSE,Tree House Education & Accessories Limited,,
TRENT,Trent Limited,Retail,Retail - Readymade Apparel
TRF,TRF Limited,Engineering,Engineering - Heavy
TRIDENT,Trident Limited,Textiles,Textiles - Spinning - Cotton Blended
TRIGYN,Trigyn Technologies Limited,Computers,Computers - Software
TRIL,Transformers And Rectifiers (India) Limited,,
TRITURBINE,Triveni Turbine Limited,,
TRIVENI,Triveni Engineering & Industries Limited,Sugar,Sugar - Integrated
TTKHLTCARE,TTK Healthcare Limited,,
TTKPRESTIG,TTK Prestige Limited,Appliances,Domestic Appliances - Cookers
TTL,T T Limited,Textiles,Textiles - Hosiery/Knitwear
TTML,Tata Teleservices (Maharashtra) Limited,Telecom,Telecommunications - Service
TUBEINVEST,,Cycles,Cycles & Accessories
TULSI,,Petrochem,Petrochem - Polymers
TV18BRDCST,TV18 Broadcast Limited,Entertainment,Entertainment/Multi Media
TVSELECT,TVS Electronics Limited,Computers,Computers - Accessories/Peripherals
TVSMOTOR,TVS Motor Company Limited,Auto,Auto - 2 & 3 Wheelers
TVSSRICHAK,TVS Srichakra Limited,Auto Ancl,Tyres & Tubes
TVTODAY,TV Today Network Limited,Entertainment,Entertainment/Multi Media
TVVISION,TV Vision Limited,,
TWL,Titagarh Wagons Limited,Engineering,Engineering - Heavy
UBL,United Breweries Limited,,
UCALFUEL,Ucal Fuel Systems Limited,Auto Ancl,Auto Ancl - Engine Parts
UCOBANK,UCO Bank,Banks - PSU,Finance - Banks - Public Sector
UFLEX,UFLEX Limited,Packaging,
UFO,UFO Moviez India Limited,,
UGARSUGAR,The Ugar Sugar Works Limited,Sugar,Sugar - Integrated
UJAAS,Ujaas Energy Limited,,
UJJIVAN,Ujjivan Financial Services Limited,,
ULTRACEMCO,UltraTech Cement Limited,Cement,Cement - Major
UMANGDAIRY,Umang Dairies Limited,,
UNICHEMLAB,Unichem Laboratories Limited,Pharmaceuticals,Pharmaceuticals
UNIENTER,Uniphos Enterprises Limited,Trading,Trading
UNIONBANK,Union Bank of India,Banks - PSU,Finance - Banks - Public Sector
UNITECH,Unitech Limited,Construction,Construction & Contracting - Civil
UNITEDBNK,,Banks - PSU,Finance - Banks - Public Sector
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,,
UNITY,Unity Infraprojects Limited,Infrastructure,Infrastructure - General
UNIVCABLES,Universal Cables Limited,Cables,Cables - Power/Others
UPL,UPL Limited,,
USHAMART,Usha Martin Limited,Steel,Steel - Alloys/Special
USHERAGRO,,Food Processing,Food Processing - Miscellaneous
UTTAMSTL,Uttam Galva Steels Limited,Steel,Steel - GP/GC Sheets
UTTAMSUGAR,Uttam Sugar Mills Limited,Sugar,Sugar - Others
V2RETAIL,V2 Retail Limited,,
VADILALIND,Vadilal Industries Limited,,
VAKRANGEE,Vakrangee Limited,,
VALUEIND,,Consumer Goods,Consumer Goods - White - Washing Mach./Refrig./Oth
VARDHACRLC,Vardhman Acrylics Limited,Textiles,Textiles - Manmade Fibre - Acrylic Fibre
VARDMNPOLY,Vardhman Polytex Limited,Textiles,Textiles - Spinning - Cotton Blended
VASCONEQ,Vascon Engineers Limited,Construction,Construction and Contracting - Real Estate
VASWANI,Vaswani Industries Limited,,
VBL,Varun Beverages Limited,,
VEDL,Vedanta Limited,Metals,Metals - Non Ferrous - Others
VENKEYS,Venky's (India) Limited,Misc,Livestock - Hatcheries/Poultry
VENUSREM,Venus Remedies Limited,Pharmaceuticals,Pharmaceuticals
VESUVIUS,Vesuvius India Limited,Misc,Refractories
VETO,Veto Switchgears And Cables Limited,,
VGUARD,V-Guard Industries Limited,,
VHL,Vardhman Holdings Limited,Finance,Finance - Investments
VICEROY,Viceroy Hotels Limited,Hotels,Hotels
VIDEOIND,Videocon Industries Limited,Consumer Goods,Consumer Goods - Electronic
VIDHIING,Vidhi Specialty Food Ingredients Limited,,
VIJAYABANK,,Banks - PSU,Finance - Banks - Public Sector
VIJSHAN,,Construction,Construction & Contracting - Housing
VIKASECO,Vikas EcoTech Limited,,
VIMTALABS,Vimta Labs Limited,Misc,Miscellaneous
VINATIORGA,Vinati Organics Limited,Chemicals,Chemicals - Organic - Benzene Based
VINDHYATEL,Vindhya Telelinks Limited,Cables,Cables - Telephone
VINYLINDIA,Vinyl Chemicals (India) Limited,Chemicals,Chemicals - Organic - Others
VIPCLOTHNG,VIP Clothing Limited,,
VIPIND,VIP Industries Limited,Plastics,Plastics - Moulded Luggage
VIPULLTD,Vipul Limited,,
VISAKAIND,Visaka Industries Limited,Cement,Cement - Products/Building Materials
VISASTEEL,Visa Steel Limited,Steel,Steel
VISHNU,Vishnu Chemicals Limited,,
VIVIDHA,Visagar Polytex Limited,,
VIVIMEDLAB,Vivimed Labs Limited,,
VLSFINANCE,VLS Finance Limited,Finance,Finance - Leasing & Hire Purchase
VMART,V-Mart Retail Limited,,
VOLTAMP,Voltamp Transformers Limited,Power,Power - Transmission/Equipment
VOLTAS,Voltas Limited,Diversified,Diversified
VRLLOG,VRL Logistics Limited,,
VSSL,Vardhman Special Steels Limited,,
VSTIND,VST Industries Limited,Cigarettes,Cigarettes
VSTTILLERS,V.S.T Tillers Tractors Limited,,
VTL,Vardhman Textiles Limited,Textiles,Textiles - Spinning - Cotton Blended
WABAG,VA Tech Wabag Limited,Engineering,Engineering - General
WABCOINDIA,WABCO India Limited,,
WALCHANNAG,Walchandnagar Industries Limited,Engineering,Engineering - Heavy
WEIZFOREX,,,
WEIZMANIND,Weizmann Limited,Textiles,Textiles - Processing/Texturising
WELCORP,Welspun Corp Limited,Steel,Steel - Tubes/Pipes
WELENT,Welspun Enterprises Limited,,
WELINV,Welspun Investments and Commercials Limited,,
WELSPUNIND,Welspun India Limited,Textiles,Textiles - Terry Towels
WENDT,Wendt (India) Limited,Grinding Wheels,Abrasives/Grinding Wheels
WHEELS,Wheels India Limited,,
WHIRLPOOL,Whirlpool of India Limited,Consumer Goods,Consumer Goods - White - Washing Mach./Refrig./Oth
WINDMACHIN,Windsor Machines Limited,,
WINSOME,Winsome Yarns Limited,,
WIPRO,Wipro Limited,Computers,Computers - Software
WOCKPHARMA,Wockhardt Limited,Pharmaceuticals,Pharmaceuticals
WONDERLA,Wonderla Holidays Limited,,
WSI,W S Industries (I) Limited,Electric,Electric Equipment - General
WSTCSTPAPR,West Coast Paper Mills Limited,Paper,Paper & Paper Boards
XCHANGING,Xchanging Solutions Limited,,
XPROINDIA,Xpro India Limited,Packaging,
YESBANK,Yes Bank Limited,Banks - Private,Finance - Banks - Private Sector
ZANDUREALT,,Construction,Construction and Contracting - Real Estate
ZEEL,Zee Entertainment Enterprises Limited,Entertainment,Entertainment/Multi Media
ZEELEARN,Zee Learn Limited,,
ZEEMEDIA,Zee Media Corporation Limited,,
ZENSARTECH,Zensar Technologies Limited,,
ZENTEC,Zen Technologies Limited,,
ZICOM,Zicom Electronic Security Systems Limited,Electronics,Electronics - Others
ZODIACLOTH,Zodiac Clothing Company Limited,Textiles,Textiles - Readymade Apparels
ZODJRDMKJ,Zodiac JRD- MKJ Limited,Jewellery,Diamond Cutting/Precious Metals/Jewellery
ZUARI,Zuari Agro Chemicals Limited,,
ZUARIGLOB,Zuari Global Limited,,
ZYDUSWELL,Zydus Wellness Limited,Misc,Vanaspati
ZYLOG,,Computers,Computers - Software
