20MICRONS , Basic Materials , Other Industrial Metals & Mining
HINDNATGLS , Consumer Cyclical , Packaging & Containers
HINDOILEXP , Energy , Oil & Gas E&P
HINDPETRO , Energy , Oil & Gas Refining & Marketing
HINDUNILVR , Consumer Defensive , Household & Personal Products
HINDZINC , Basic Materials , Other Industrial Metals & Mining
HIRECT , Industrials , Electrical Equipment & Parts
HISARMETAL , Basic Materials , Steel
HITECH , Basic Materials , Steel
HITECHCORP , Consumer Cyclical , Packaging & Containers
HITECHGEAR , Consumer Cyclical , Auto Parts
HLVLTD , Consumer Cyclical , Lodging
HMT , Industrials , Farm & Heavy Construction Machinery
HMVL , Communication Services , Publishing
HNDFDS , Consumer Defensive , Packaged Foods
HONAUT , Industrials , Specialty Industrial Machinery
HONDAPOWER , Industrials , Specialty Industrial Machinery
HOTELRUGBY , Financial Services , Shell Companies
HOVS , Technology , Information Technology Services
HPL , Industrials , Electrical Equipment & Parts
HSCL , Basic Materials , Chemicals
HSIL , Industrials , Building Products & Equipment
HTMEDIA , Communication Services , Publishing
HUBTOWN , Real Estate , Real Estate—Development
HUDCO , Financial Services , Credit Services
IBREALEST , Real Estate , Real Estate—Development
IBULHSGFIN , Financial Services , Mortgage Finance
IBULISL , Real Estate , Real Estate—Diversified
IBVENTURES , Financial Services , Capital Markets
ICICIBANK , Financial Services , Banks—Regional
ICICIGI , Financial Services , Insurance—Diversified
ICICIPRULI , Financial Services , Insurance—Life
ICIL , Consumer Cyclical , Textile Manufacturing
ICRA , Financial Services , Financial Data & Stock Exchanges
IDBI , Financial Services , Banks—Regional
IDEA , Communication Services , Telecom Services
IDFC , Financial Services , Credit Services
IDFCFIRSTB , Financial Services , Banks—Regional
IEX , Financial Services , Capital Markets
IFBAGRO , Consumer Defensive , Beverages—Wineries & Distilleries
IFBIND , Technology , Consumer Electronics
IFCI , Financial Services , Credit Services
IFGLEXPOR , Basic Materials , Building Materials
IGARASHI , Consumer Cyclical , Auto Parts
IGL , Utilities , Utilities—Regulated Gas
IGPL , Basic Materials , Specialty Chemicals
IIFL , Financial Services , Capital Markets
IIFLSEC , Financial Services , Capital Markets
IIFLWAM , Financial Services , Asset Management
IITL , Financial Services , Insurance—Life
IL&FSENGG , Industrials , Engineering & Construction
IL&FSTRANS , Industrials , Infrastructure Operations
IMAGICAA , Communication Services , Entertainment
IMFA , Basic Materials , Steel
IMPAL , Consumer Cyclical , Auto Parts
IMPEXFERRO , Basic Materials , Other Industrial Metals & Mining
INDBANK , Financial Services , Capital Markets
INDHOTEL , Consumer Cyclical , Lodging
INDIACEM , Basic Materials , Building Materials
INDIAGLYCO , Basic Materials , Chemicals
INDIAMART , Communication Services , Internet Content & Information
INDIANB , Financial Services , Banks—Regional
INDIANCARD , Consumer Cyclical , Textile Manufacturing
INDIANHUME , Industrials , Engineering & Construction
INDIGO , Industrials , Airlines
INDLMETER , Industrials , Specialty Industrial Machinery
INDNIPPON , Consumer Cyclical , Auto Parts
INDOCO , Healthcare , Drug Manufacturers—Specialty & Generic
INDORAMA , Consumer Cyclical , Textile Manufacturing
INDOSOLAR , Technology , Solar
INDOSTAR , Financial Services , Credit Services
INDOTECH , Industrials , Electrical Equipment & Parts
INDOTHAI , Financial Services , Capital Markets
INDOWIND , Utilities , Utilities—Independent Power Producers
INDRAMEDCO , Healthcare , Medical Care Facilities
INDSWFTLAB , Healthcare , Drug Manufacturers—Specialty & Generic
