Symbol , Sector , Sub-sector
HINDNATGLS,Consumer Cyclical,Packaging & Containers
HINDOILEXP,Energy,Oil & Gas E&P
HINDPETRO,Energy,Oil & Gas Refining & Marketing
HINDUNILVR,Consumer Defensive,Household & Personal Products
HINDZINC,Basic Materials,Other Industrial Metals & Mining
HIRECT,Industrials,Electrical Equipment & Parts
HISARMETAL,Basic Materials,Steel
HITECH,Basic Materials,Steel
HITECHCORP,Consumer Cyclical,Packaging & Containers
HITECHGEAR,Consumer Cyclical,Auto Parts
HLVLTD,Consumer Cyclical,Lodging
HMT,Industrials,Farm & Heavy Construction Machinery
HMVL,Communication Services,Publishing
HNDFDS,Consumer Defensive,Packaged Foods
HONAUT,Industrials,Specialty Industrial Machinery
HONDAPOWER,Industrials,Specialty Industrial Machinery
HOTELRUGBY,Financial Services,Shell Companies
HOVS,Technology,Information Technology Services
HPL,Industrials,Electrical Equipment & Parts
HSCL,Basic Materials,Chemicals
HSIL,Industrials,Building Products & Equipment
HTMEDIA,Communication Services,Publishing
HUBTOWN,Real Estate,Real Estate—Development
HUDCO,Financial Services,Credit Services
IBREALEST,Real Estate,Real Estate—Development
IBULHSGFIN,Financial Services,Mortgage Finance
IBULISL,Real Estate,Real Estate—Diversified
IBVENTURES,Financial Services,Capital Markets
ICICIBANK,Financial Services,Banks—Regional
ICICIGI,Financial Services,Insurance—Diversified
ICICIPRULI,Financial Services,Insurance—Life
ICIL,Consumer Cyclical,Textile Manufacturing
ICRA,Financial Services,Financial Data & Stock Exchanges
IDBI,Financial Services,Banks—Regional
IDEA,Communication Services,Telecom Services
IDFC,Financial Services,Credit Services
IDFCFIRSTB,Financial Services,Banks—Regional
IEX,Financial Services,Capital Markets
IFBAGRO,Consumer Defensive,Beverages—Wineries & Distilleries
IFBIND,Technology,Consumer Electronics
IFCI,Financial Services,Credit Services
IFGLEXPOR,Basic Materials,Building Materials
IGARASHI,Consumer Cyclical,Auto Parts
IGL,Utilities,Utilities—Regulated Gas
IGPL,Basic Materials,Specialty Chemicals
IIFL,Financial Services,Capital Markets
IIFLSEC,Financial Services,Capital Markets
IIFLWAM,Financial Services,Asset Management
IITL,Financial Services,Insurance—Life
IL&FSENGG,Industrials,Engineering & Construction
IL&FSTRANS,Industrials,Infrastructure Operations
IMAGICAA,Communication Services,Entertainment
IMFA,Basic Materials,Steel
IMPAL,Consumer Cyclical,Auto Parts
IMPEXFERRO,Basic Materials,Other Industrial Metals & Mining
INDBANK,Financial Services,Capital Markets
INDHOTEL,Consumer Cyclical,Lodging
INDIACEM,Basic Materials,Building Materials
INDIAGLYCO,Basic Materials,Chemicals
INDIAMART,Communication Services,Internet Content & Information
INDIANB,Financial Services,Banks—Regional
INDIANCARD,Consumer Cyclical,Textile Manufacturing
INDIANHUME,Industrials,Engineering & Construction
INDIGO,Industrials,Airlines
INDLMETER,Industrials,Specialty Industrial Machinery
INDNIPPON,Consumer Cyclical,Auto Parts
INDOCO,Healthcare,Drug Manufacturers—Specialty & Generic
INDORAMA,Consumer Cyclical,Textile Manufacturing
INDOSOLAR,Technology,Solar
INDOSTAR,Financial Services,Credit Services
INDOTECH,Industrials,Electrical Equipment & Parts
INDOTHAI,Financial Services,Capital Markets
INDOWIND,Utilities,Utilities—Independent Power Producers
INDRAMEDCO,Healthcare,Medical Care Facilities
INDSWFTLAB,Healthcare,Drug Manufacturers—Specialty & Generic
INDSWFTLTD,Healthcare,Drug Manufacturers—Specialty & Generic
INDTERRAIN,Consumer Cyclical,Apparel Manufacturing
INDUSINDBK,Financial Services,Banks—Regional
INEOSSTYRO,Basic Materials,Chemicals
INFIBEAM,Technology,Software—Infrastructure
INFOBEAN,Technology,Software—Application
INFOMEDIA,Financial Services,Shell Companies
INFRATEL,Communication Services,Telecom Services
INFY,Technology,Information Technology Services
INGERRAND,Industrials,Specialty Industrial Machinery
INOXLEISUR,Communication Services,Entertainment
INOXWIND,Industrials,Specialty Industrial Machinery
INSECTICID,Basic Materials,Agricultural Inputs
INSPIRISYS,Technology,Information Technology Services
INTEGRA,Consumer Cyclical,Apparel Manufacturing
INTELLECT,Technology,Information Technology Services
INTENTECH,Technology,Software—Application
INVENTURE,Financial Services,Capital Markets
IOB,Financial Services,Banks—Regional
IOC,Energy,Oil & Gas Refining & Marketing
IOLCP,Healthcare,Drug Manufacturers—Specialty & Generic
IPCALAB,Healthcare,Drug Manufacturers—Specialty & Generic
IRB,Industrials,Infrastructure Operations
IRCON,Industrials,Engineering & Construction
IRCTC,Industrials,Railroads
ISEC,Financial Services,Capital Markets
ISFT,Consumer Cyclical,Internet Retail
ISMTLTD,Basic Materials,Steel
ITC,Consumer Defensive,Tobacco
ITDC,Consumer Cyclical,Lodging
ITDCEM,Industrials,Engineering & Construction
ITI,Technology,Communication Equipment
IVC,Financial Services,Financial Conglomerates
IVP,Basic Materials,Specialty Chemicals
IZMO,Technology,Software—Application
J&KBANK,Financial Services,Banks—Regional
JAGRAN,Communication Services,Publishing
JAGSNPHARM,Healthcare,Drug Manufacturers—Specialty & Generic
JAIBALAJI,Basic Materials,Steel
JAICORPLTD,Basic Materials,Specialty Chemicals
JAIHINDPRO,Industrials,Engineering & Construction
JAINSTUDIO,Communication Services,Broadcasting
JAMNAAUTO,Consumer Cyclical,Auto Parts
JASH,Industrials,Specialty Industrial Machinery
JAYAGROGN,Basic Materials,Specialty Chemicals
JAYBARMARU,Consumer Cyclical,Auto Parts
JAYNECOIND,Basic Materials,Steel
JAYSREETEA,Consumer Defensive,Farm Products
JBCHEPHARM,Healthcare,Drug Manufacturers—Specialty & Generic
JBFIND,Consumer Cyclical,Textile Manufacturing
JBMA,Consumer Cyclical,Auto Parts
JCHAC,Technology,Consumer Electronics
JETAIRWAYS,Industrials,Airlines
JHS,Consumer Defensive,Household & Personal Products
JIKIND,Consumer Cyclical,"Furnishings Fixtures & Appliances"
JINDALPHOT,Financial Services,Asset Management
JINDALPOLY,Basic Materials,Specialty Chemicals
JINDALSAW,Basic Materials,Steel
JINDALSTEL,Basic Materials,Steel
JINDRILL,Energy,Oil & Gas Equipment & Services
JINDWORLD,Consumer Cyclical,Textile Manufacturing
JISLDVREQS,Industrials,Farm & Heavy Construction Machinery
JISLJALEQS,Industrials,Farm & Heavy Construction Machinery
JITFINFRA,Industrials,Integrated Freight & Logistics
JIYAECO,Basic Materials,Specialty Chemicals
JKCEMENT,Basic Materials,Building Materials
JKIL,Industrials,Engineering & Construction
JKLAKSHMI,Basic Materials,Building Materials
JKPAPER,Basic Materials,Paper & Paper Products
JKTYRE,Consumer Cyclical,Auto Parts
JMA,Consumer Cyclical,Auto Parts
JMCPROJECT,Industrials,Engineering & Construction
JMFINANCIL,Financial Services,Capital Markets
JMTAUTOLTD,Consumer Cyclical,Auto Parts
JOCIL,Basic Materials,Specialty Chemicals
JPASSOCIAT,Industrials,Conglomerates
JPINFRATEC,Industrials,Infrastructure Operations
JPOLYINVST,Financial Services,Asset Management
JPPOWER,Utilities,Utilities—Independent Power Producers
JSL,Basic Materials,Steel
JSLHISAR,Basic Materials,Steel
JSWENERGY,Utilities,Utilities—Independent Power Producers
JSWHL,Industrials,Conglomerates
JSWSTEEL,Basic Materials,Steel
JTEKTINDIA,Consumer Cyclical,Auto Parts
JUBILANT,Healthcare,Drug Manufacturers—Specialty & Generic
JUBLFOOD,Consumer Cyclical,Restaurants
JUBLINDS,Basic Materials,Specialty Chemicals
JUMPNET,Technology,Electronics & Computer Distribution
JUSTDIAL,Communication Services,Internet Content & Information
JVLAGRO,Consumer Defensive,Packaged Foods
JYOTHYLAB,Consumer Defensive,Household & Personal Products
JYOTISTRUC,Industrials,Specialty Industrial Machinery
KABRAEXTRU,Industrials,Specialty Industrial Machinery
KAJARIACER,Industrials,Building Products & Equipment
KAKATCEM,Basic Materials,Building Materials
KALPATPOWR,Industrials,Engineering & Construction
KALYANI,,
KALYANIFRG,Consumer Cyclical,Auto Parts
KAMATHOTEL,Consumer Cyclical,Lodging
KAMDHENU,Basic Materials,Steel
KANANIIND,Consumer Cyclical,Luxury Goods
KANORICHEM,Basic Materials,Chemicals
KANSAINER,Basic Materials,Specialty Chemicals
KARDA,Real Estate,Real Estate—Development
KARMAENG,Utilities,Utilities—Renewable
KARURVYSYA,Financial Services,Banks—Regional
KAUSHALYA,Industrials,Engineering & Construction
KAYA,Consumer Defensive,Household & Personal Products
KCP,Basic Materials,Building Materials
KCPSUGIND,Consumer Defensive,Confectioners
KDDL,Consumer Cyclical,Luxury Goods
KEC,Industrials,Engineering & Construction
KECL,Industrials,Specialty Industrial Machinery
KEI,Industrials,Electrical Equipment & Parts
KELLTONTEC,Technology,Software—Application
KENNAMET,Industrials,Specialty Industrial Machinery
KERNEX,Technology,Software—Application
KESORAMIND,Basic Materials,Building Materials
KEYFINSERV,Financial Services,Capital Markets
KGL,Consumer Defensive,Farm Products
KHADIM,Consumer Cyclical,Footwear & Accessories
KHANDSE,Financial Services,Capital Markets
KICL,Financial Services,Asset Management
KILITCH,Healthcare,Drug Manufacturers—General
KINGFA,Basic Materials,Specialty Chemicals
KIOCL,Basic Materials,Steel
KIRIINDUS,Basic Materials,Specialty Chemicals
KIRLFER,Industrials,Metal Fabrication
KIRLOSBROS,Industrials,Specialty Industrial Machinery
KIRLOSENG,Industrials,Specialty Industrial Machinery
KIRLOSIND,Industrials,Metal Fabrication
KITEX,Consumer Cyclical,Apparel Manufacturing
KKCL,Consumer Cyclical,Apparel Manufacturing
KMSUGAR,Consumer Defensive,Confectioners
KNRCON,Industrials,Engineering & Construction
KOHINOOR,Consumer Defensive,Packaged Foods
KOKUYOCMLN,Industrials,Business Equipment & Supplies
KOLTEPATIL,Real Estate,Real Estate—Development
KOPRAN,Healthcare,Drug Manufacturers—General
KOTAKBANK,Financial Services,Banks—Regional
KOTARISUG,Consumer Defensive,Confectioners
KOTHARIPET,Basic Materials,Specialty Chemicals
KOTHARIPRO,Industrials,Conglomerates
KPITTECH,Technology,Information Technology Services
KPRMILL,Consumer Cyclical,Apparel Manufacturing
KRBL,Consumer Defensive,Packaged Foods
KREBSBIO,Healthcare,Drug Manufacturers—Specialty & Generic
KRIDHANINF,Basic Materials,Steel
KRISHANA,Basic Materials,Agricultural Inputs
KSB,Industrials,Specialty Industrial Machinery
KSCL,Consumer Defensive,Farm Products
KSERASERA,Communication Services,Entertainment
KSK,Utilities,Utilities—Regulated Electric
KSL,Basic Materials,Steel
KTKBANK,Financial Services,Banks—Regional
KUANTUM,Basic Materials,Paper & Paper Products
KWALITY,Consumer Defensive,Packaged Foods
L&TFH,Financial Services,Credit Services
LAKPRE,Industrials,Tools & Accessories
LAKSHVILAS,Financial Services,Banks—Regional
LALPATHLAB,Healthcare,Diagnostics & Research
LAMBODHARA,Consumer Cyclical,Textile Manufacturing
LAOPALA,Consumer Cyclical,"Furnishings Fixtures & Appliances"
LASA,Healthcare,Drug Manufacturers—Specialty & Generic
LAURUSLABS,Healthcare,Drug Manufacturers—Specialty & Generic
LAXMIMACH,Industrials,Specialty Industrial Machinery
LEMONTREE,Consumer Cyclical,Lodging
LFIC,Financial Services,Asset Management
LGBBROSLTD,Consumer Cyclical,Auto Parts
LGBFORGE,Industrials,Metal Fabrication
LIBAS,Consumer Cyclical,Apparel Manufacturing
LIBERTSHOE,Consumer Cyclical,Footwear & Accessories
LICHSGFIN,Financial Services,Mortgage Finance
LINCOLN,Healthcare,Drug Manufacturers—Specialty & Generic
LINCPEN,Industrials,Business Equipment & Supplies
LINDEINDIA,Basic Materials,Specialty Chemicals
LOKESHMACH,Industrials,Specialty Industrial Machinery
LOTUSEYE,Healthcare,Medical Care Facilities
LOVABLE,Consumer Cyclical,Apparel Manufacturing
LPDC,Real Estate,Real Estate Services
LSIL,Industrials,Specialty Industrial Machinery
LT,Industrials,Engineering & Construction
LTI,Technology,Information Technology Services
LTTS,Technology,Information Technology Services
LUMAXIND,Consumer Cyclical,Auto Parts
LUMAXTECH,Consumer Cyclical,Auto Parts
LUPIN,Healthcare,Drug Manufacturers—Specialty & Generic
LUXIND,Consumer Cyclical,Apparel Manufacturing
LYKALABS,Healthcare,Biotechnology
LYPSAGEMS,Consumer Cyclical,Luxury Goods
M&M,Consumer Cyclical,Auto Manufacturers
M&MFIN,Financial Services,Credit Services
MAANALU,Basic Materials,Aluminum
MADHAV,Industrials,Building Products & Equipment
MADHUCON,Industrials,Engineering & Construction
MADRASFERT,Basic Materials,Agricultural Inputs
MAGADSUGAR,Consumer Defensive,Confectioners
MAGMA,Financial Services,Credit Services
MAGNUM,Basic Materials,Paper & Paper Products
MAHABANK,Financial Services,Banks—Regional
MAHAPEXLTD,Financial Services,Credit Services
MAHASTEEL,Basic Materials,Steel
MAHEPC,Industrials,Farm & Heavy Construction Machinery
MAHESHWARI,Industrials,Integrated Freight & Logistics
MAHINDCIE,Consumer Cyclical,Auto Parts
MAHLIFE,Real Estate,Real Estate—Development
MAHLOG,Industrials,Integrated Freight & Logistics
MAHSCOOTER,Consumer Cyclical,Auto Parts
MAHSEAMLES,Basic Materials,Steel
MAITHANALL,Basic Materials,Steel
MAJESCO,Technology,Information Technology Services
MALUPAPER,Basic Materials,Paper & Paper Products
MANAKALUCO,Basic Materials,Aluminum
MANAKCOAT,Industrials,Metal Fabrication
MANAKSIA,Industrials,Metal Fabrication
MANAKSTEEL,Basic Materials,Steel
MANALIPETC,Basic Materials,Specialty Chemicals
MANAPPURAM,Financial Services,Credit Services
MANGALAM,Healthcare,Drug Manufacturers—Specialty & Generic
MANGCHEFER,Basic Materials,Agricultural Inputs
MANGLMCEM,Basic Materials,Building Materials
MANGTIMBER,Basic Materials,Lumber & Wood Production
MANINDS,Basic Materials,Steel
MANINFRA,Industrials,Engineering & Construction
MANPASAND,Consumer Defensive,Beverages—Non-Alcoholic
MANUGRAPH,Industrials,Specialty Industrial Machinery
MARALOVER,Consumer Cyclical,Textile Manufacturing
MARATHON,Real Estate,Real Estate—Development
MARICO,Consumer Defensive,Household & Personal Products
MARKSANS,Healthcare,Drug Manufacturers—General
MARUTI,Consumer Cyclical,Auto Manufacturers
MASFIN,Financial Services,Credit Services
MASKINVEST,Financial,Investment Brokerage - National
MASTEK,Technology,Information Technology Services
MATRIMONY,Communication Services,Internet Content & Information
MAWANASUG,Consumer Defensive,Confectioners
MAXINDIA,Healthcare,Medical Care Facilities
MAXVIL,Consumer Cyclical,Packaging & Containers
MAYURUNIQ,Consumer Cyclical,Textile Manufacturing
MAZDA,Industrials,Specialty Industrial Machinery
MBAPL,Basic Materials,Agricultural Inputs
MBECL,Industrials,Engineering & Construction
MBLINFRA,Industrials,Engineering & Construction
MCDHOLDING,Financial Services,Capital Markets
MCDOWELL-N,Consumer Defensive,Beverages—Wineries & Distilleries
MCLEODRUSS,Consumer Defensive,Packaged Foods
MCX,Financial Services,Financial Data & Stock Exchanges
MEGASOFT,Technology,Software—Application
MEGH,Basic Materials,Agricultural Inputs
MELSTAR,Technology,Software—Application
MENONBE,Consumer Cyclical,Auto Parts
MEP,Industrials,Infrastructure Operations
MERCATOR,Energy,Thermal Coal
METALFORGE,Industrials,Metal Fabrication
METKORE,Basic Materials,Other Industrial Metals & Mining
METROPOLIS,Healthcare,Diagnostics & Research
MFSL,Financial Services,Insurance—Life
MGL,Utilities,Utilities—Regulated Gas
MHRIL,Consumer Cyclical,Resorts & Casinos
MIC,Technology,Electronic Components
MIDHANI,Basic Materials,Steel
MINDACORP,Consumer Cyclical,Auto Parts
MINDAIND,Consumer Cyclical,Auto Parts
MINDTECK,Technology,Information Technology Services
MINDTREE,Technology,Information Technology Services
MIRCELECTR,Consumer Cyclical,"Furnishings Fixtures & Appliances"
MIRZAINT,Consumer Cyclical,Footwear & Accessories
MITTAL,Consumer Cyclical,Textile Manufacturing
MMFL,Industrials,Metal Fabrication
MMP,Basic Materials,Aluminum
MMTC,Industrials,Conglomerates
MODIRUBBER,Real Estate,Real Estate Services
MOHITIND,Consumer Cyclical,Textile Manufacturing
MOHOTAIND,Consumer Cyclical,Textile Manufacturing
MOIL,Basic Materials,Other Industrial Metals & Mining
MOLDTECH,Industrials,Engineering & Construction
MOLDTKPAC,Consumer Cyclical,Packaging & Containers
MONTECARLO,Consumer Cyclical,Apparel Manufacturing
MORARJEE,Consumer Cyclical,Textile Manufacturing
MOREPENLAB,Healthcare,Drug Manufacturers—Specialty & Generic
MOTHERSUMI,Consumer Cyclical,Auto Parts
MOTILALOFS,Financial Services,Capital Markets
MOTOGENFIN,Real Estate,Real Estate—Diversified
MPHASIS,Technology,Information Technology Services
MPSLTD,Communication Services,Publishing
MRF,Consumer Cyclical,Auto Parts
MRO-TEK,Technology,Communication Equipment
MRPL,Energy,Oil & Gas Refining & Marketing
MSPL,Basic Materials,Steel
MSTCLTD,Industrials,Conglomerates
MTEDUCARE,Consumer Defensive,Education & Training Services
MTNL,Communication Services,Telecom Services
MUKANDENGG,Industrials,Engineering & Construction
MUKANDLTD,Basic Materials,Steel
MUKTAARTS,Communication Services,Entertainment
MUNJALAU,Consumer Cyclical,Auto Parts
MUNJALSHOW,Consumer Cyclical,Auto Parts
MURUDCERA,Industrials,Building Products & Equipment
MUTHOOTCAP,Financial Services,Credit Services
MUTHOOTFIN,Financial Services,Credit Services
NACLIND,Basic Materials,Agricultural Inputs
NAGAFERT,Basic Materials,Agricultural Inputs
NAGREEKCAP,Financial Services,Capital Markets
NAGREEKEXP,Consumer Cyclical,Textile Manufacturing
NAHARCAP,Financial Services,Capital Markets
NAHARINDUS,Consumer Cyclical,Textile Manufacturing
NAHARPOLY,Consumer Cyclical,Packaging & Containers
NAHARSPING,Consumer Cyclical,Textile Manufacturing
NAM-INDIA,Financial Services,Asset Management
NATCOPHARM,Healthcare,Drug Manufacturers—Specialty & Generic
NATHBIOGEN,Basic Materials,Agricultural Inputs
NATIONALUM,Basic Materials,Aluminum
NATNLSTEEL,Basic Materials,Steel
NAUKRI,Communication Services,Internet Content & Information
NAVINFLUOR,Basic Materials,Chemicals
NAVKARCORP,Industrials,Integrated Freight & Logistics
NAVNETEDUL,Communication Services,Publishing
NBCC,Industrials,Engineering & Construction
NBIFIN,Financial Services,Capital Markets
NBVENTURES,Utilities,Utilities—Regulated Electric
NCC,Industrials,Engineering & Construction
NCLIND,Basic Materials,Building Materials
NDGL,Financial Services,Capital Markets
NDL,Consumer Cyclical,Textile Manufacturing
NDTV,Communication Services,Broadcasting
NECCLTD,Industrials,Trucking
NECLIFE,Healthcare,Drug Manufacturers—Specialty & Generic
NELCAST,Industrials,Metal Fabrication
NELCO,Technology,Communication Equipment
NEOGEN,Basic Materials,Specialty Chemicals
NESCO,Industrials,Specialty Business Services
NESTLEIND,Consumer Defensive,Packaged Foods
NETWORK18,Communication Services,Broadcasting
NEULANDLAB,Healthcare,Drug Manufacturers—Specialty & Generic
NEWGEN,Technology,Software—Application
NEXTMEDIA,Communication Services,Publishing
NFL,Basic Materials,Agricultural Inputs
NH,Healthcare,Medical Care Facilities
NHPC,Utilities,Utilities—Renewable
NIACL,Financial Services,Insurance—Diversified
NIBL,Industrials,Tools & Accessories
NIITLTD,Consumer Defensive,Education & Training Services
NIITTECH,Technology,Information Technology Services
NILAINFRA,Real Estate,Real Estate—Development
NILASPACES,Real Estate,Real Estate—Development
NILKAMAL,Consumer Cyclical,"Furnishings Fixtures & Appliances"
NIPPOBATRY,Industrials,Electrical Equipment & Parts
NIRAJISPAT,,
NITCO,Industrials,Building Products & Equipment
NITINFIRE,Industrials,Security & Protection Services
NITINSPIN,Consumer Cyclical,Textile Manufacturing
NKIND,Consumer Defensive,Farm Products
NLCINDIA,Utilities,Utilities—Regulated Electric
NMDC,Basic Materials,Steel
NOCIL,Basic Materials,Chemicals
NOIDATOLL,Industrials,Infrastructure Operations
NORBTEAEXP,Consumer Defensive,Farm Products
NRAIL,Basic Materials,Paper & Paper Products
NRBBEARING,Consumer Cyclical,Auto Parts
NSIL,Financial Services,Asset Management
NTL,Basic Materials,Steel
NTPC,Utilities,Utilities—Independent Power Producers
NUCLEUS,Technology,Software—Application
NXTDIGITAL,Communication Services,Entertainment
OAL,Basic Materials,Chemicals
OBEROIRLTY,Real Estate,Real Estate—Development
OCCL,Basic Materials,Chemicals
OFSS,Technology,Software—Infrastructure
OIL,Energy,Oil & Gas E&P
OILCOUNTUB,Energy,Oil & Gas Equipment & Services
OISL,Basic Materials,Steel
OLECTRA,Consumer Cyclical,Auto Parts
OMAXAUTO,Consumer Cyclical,Auto Parts
OMAXE,Real Estate,Real Estate—Development
OMKARCHEM,Basic Materials,Specialty Chemicals
OMMETALS,Industrials,Engineering & Construction
ONELIFECAP,Financial Services,Capital Markets
ONEPOINT,Industrials,Specialty Business Services
ONGC,Energy,Oil & Gas Integrated
ONMOBILE,Communication Services,Telecom Services
ONWARDTEC,Industrials,Engineering & Construction
OPTIEMUS,Technology,Electronics & Computer Distribution
OPTOCIRCUI,Healthcare,Medical Devices
ORBTEXP,Consumer Cyclical,Textile Manufacturing
ORICONENT,Consumer Cyclical,Packaging & Containers
ORIENTABRA,Basic Materials,Specialty Chemicals
ORIENTALTL,Industrials,Building Products & Equipment
ORIENTBELL,Industrials,Building Products & Equipment
ORIENTCEM,Basic Materials,Building Materials
ORIENTELEC,Consumer Cyclical,"Furnishings Fixtures & Appliances"
ORIENTHOT,Consumer Cyclical,Lodging
ORIENTLTD,Consumer Cyclical,Packaging & Containers
ORIENTPPR,Basic Materials,Paper & Paper Products
ORIENTREF,Industrials,Metal Fabrication
ORISSAMINE,Basic Materials,Other Industrial Metals & Mining
ORTEL,Communication Services,Entertainment
ORTINLABSS,Healthcare,Drug Manufacturers—Specialty & Generic
OSWALAGRO,Real Estate,Real Estate—Development
PAEL,Industrials,Electrical Equipment & Parts
PAGEIND,Consumer Cyclical,Apparel Manufacturing
PAISALO,Financial Services,Credit Services
PALASHSECU,Consumer Defensive,Packaged Foods
PALREDTEC,Technology,Information Technology Services
PANACEABIO,Healthcare,Biotechnology
PANACHE,Technology,Communication Equipment
PANAMAPET,Energy,Oil & Gas Refining & Marketing
PAPERPROD,Consumer Cyclical,Packaging & Containers
PARABDRUGS,Healthcare,Drug Manufacturers—Specialty & Generic
PARACABLES,Technology,Communication Equipment
PARAGMILK,Consumer Defensive,Packaged Foods
PARSVNATH,Real Estate,Real Estate—Diversified
PATELENG,Industrials,Engineering & Construction
PATINTLOG,Industrials,Integrated Freight & Logistics
PATSPINLTD,Consumer Cyclical,Textile Manufacturing
PCJEWELLER,Consumer Cyclical,Luxury Goods
PDMJEPAPER,Basic Materials,Paper & Paper Products
PDSMFL,Industrials,Specialty Business Services
PEARLPOLY,Consumer Cyclical,Packaging & Containers
PEL,Healthcare,Drug Manufacturers—General
PENIND,Industrials,Specialty Industrial Machinery
PENINLAND,Real Estate,Real Estate—Development
PERSISTENT,Technology,Software—Infrastructure
PETRONET,Energy,Oil & Gas Refining & Marketing
PFC,Financial Services,Credit Services
PFIZER,Healthcare,Drug Manufacturers—General
PFOCUS,Communication Services,Entertainment
PFS,Financial Services,Credit Services
PGEL,Technology,Electronic Components
PGHH,Consumer Defensive,Household & Personal Products
PGHL,Healthcare,Drug Manufacturers—Specialty & Generic
PGIL,Consumer Cyclical,Apparel Manufacturing
PHILIPCARB,Basic Materials,Specialty Chemicals
PHOENIXLTD,Real Estate,Real Estate—Diversified
PIDILITIND,Basic Materials,Specialty Chemicals
PIIND,Basic Materials,Agricultural Inputs
PILANIINVS,Financial Services,Asset Management
PILITA,Consumer Cyclical,"Furnishings Fixtures & Appliances"
PIONDIST,Consumer Defensive,Beverages—Wineries & Distilleries
PIONEEREMB,Consumer Cyclical,Textile Manufacturing
PITTIENG,Industrials,Metal Fabrication
PKTEA,Consumer Defensive,Farm Products
PLASTIBLEN,Basic Materials,Specialty Chemicals
PNB,Financial Services,Banks—Regional
PNBGILTS,Financial Services,Capital Markets
PNBHOUSING,Financial Services,Mortgage Finance
PNC,Communication Services,Entertainment
PNCINFRA,Industrials,Engineering & Construction
PODDARHOUS,Real Estate,Real Estate—Diversified
PODDARMENT,Basic Materials,Specialty Chemicals
POKARNA,Industrials,Building Products & Equipment
POLYCAB,Industrials,Electrical Equipment & Parts
POLYMED,Healthcare,Medical Instruments & Supplies
POLYPLEX,Basic Materials,Specialty Chemicals
PONNIERODE,Consumer Defensive,Confectioners
POWERGRID,Utilities,Utilities—Regulated Electric
POWERINDIA,Technology,Electronic Components
POWERMECH,Industrials,Engineering & Construction
PPAP,Consumer Cyclical,Auto Parts
PPL,Consumer Cyclical,Auto Parts
PRABHAT,Consumer Defensive,Packaged Foods
PRADIP,Consumer Cyclical,Textile Manufacturing
PRAENG,Real Estate,Real Estate—Development
PRAJIND,Industrials,Engineering & Construction
PRAKASH,Basic Materials,Steel
PRAKASHSTL,Basic Materials,Steel
PRAXIS,Consumer Cyclical,Specialty Retail
PRECAM,Consumer Cyclical,Auto Parts
PRECOT,Consumer Cyclical,Textile Manufacturing
PRECWIRE,Basic Materials,Copper
PREMEXPLN,Basic Materials,Specialty Chemicals
PREMIER,Industrials,Specialty Industrial Machinery
PREMIERPOL,Basic Materials,Specialty Chemicals
PRESSMN,Communication Services,Advertising Agencies
PRESTIGE,Real Estate,Real Estate—Diversified
PRICOLLTD,Consumer Cyclical,Auto Parts
PRIMESECU,Financial Services,Capital Markets
PRINCEPIPE,Basic Materials,Specialty Chemicals
PROSEED,Basic Materials,Agricultural Inputs
PROZONINTU,Real Estate,Real Estate—Diversified
PRSMJOHNSN,Basic Materials,Building Materials
PSB,Financial Services,Banks—Regional
PSL,Industrials,Metal Fabrication
PSPPROJECT,Industrials,Engineering & Construction
PTC,Utilities,Utilities—Independent Power Producers
PTL,Real Estate,Real Estate Services
PUNJABCHEM,Basic Materials,Chemicals
PUNJLLOYD,Industrials,Engineering & Construction
PURVA,Industrials,Engineering & Construction
PVR,Communication Services,Entertainment
QUESS,Industrials,Staffing & Employment Services
QUICKHEAL,Technology,Software—Application
RADAAN,Communication Services,Entertainment
RADICO,Consumer Defensive,Beverages—Wineries & Distilleries
RADIOCITY,Communication Services,Broadcasting
RAIN,Basic Materials,Chemicals
RAJESHEXPO,Consumer Cyclical,Luxury Goods
RAJRAYON,Consumer Cyclical,Textile Manufacturing
RAJSREESUG,Consumer Defensive,Confectioners
RAJTV,Communication Services,Broadcasting
RALLIS,Basic Materials,Agricultural Inputs
RAMANEWS,Basic Materials,Paper & Paper Products
RAMASTEEL,Basic Materials,Steel
RAMCOCEM,Basic Materials,Building Materials
RAMCOIND,Industrials,Building Products & Equipment
RAMCOSYS,Technology,Software—Application
RAMKY,Industrials,Engineering & Construction
RAMSARUP,Basic Materials,Steel
RANASUG,Consumer Defensive,Confectioners
RANEENGINE,Consumer Cyclical,Auto Parts
RANEHOLDIN,Consumer Cyclical,Auto Parts
RATNAMANI,Basic Materials,Steel
RAYMOND,Consumer Cyclical,Textile Manufacturing
RBL,Consumer Cyclical,Auto Parts
RBLBANK,Financial Services,Banks—Regional
RCF,Basic Materials,Agricultural Inputs
RCOM,Communication Services,Telecom Services
RECLTD,Financial Services,Credit Services
REDINGTON,Technology,Information Technology Services
REFEX,Basic Materials,Chemicals
RELAXO,Consumer Cyclical,Footwear & Accessories
RELCAPITAL,Financial Services,Financial Conglomerates
RELIANCE,Energy,Oil & Gas Refining & Marketing
RELIGARE,Financial Services,Capital Markets
RELINFRA,Utilities,Utilities—Regulated Electric
REMSONSIND,Consumer Cyclical,Auto Parts
RENUKA,Consumer Defensive,Confectioners
REPCOHOME,Financial Services,Mortgage Finance
REPRO,Industrials,Specialty Business Services
RESPONIND,Basic Materials,Specialty Chemicals
REVATHI,Industrials,Farm & Heavy Construction Machinery
RGL,Consumer Cyclical,Luxury Goods
